fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230727 180406	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	788	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.13009326574679	0.670034233876124	173	42808	11334	69461508.2458771	19
20230727 182906	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	671	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.13537381477961	0.502826667069379	302	37461	11930	69077706.1469265	20
20230727 184817	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1123	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.125070305178482	0.882717728091608	287	32427	12355	68657338.8305847	21
20230727 190235	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	594	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.133110406168869	0.240751636983739	22	48251	13482	68519697.1514243	22
20230727 191506	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	724	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.131026524363125	0.991105088615753	547	46838	10895	69019887.5562219	23
20230727 192601	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	473	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.141245795262018	0.635913722324002	586	41173	12885	68936784.107946	24
20230727 193703	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	469	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.131590994006984	0.999918245331854	177	22333	11156	68083964.017991	25
20230727 195315	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1180	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.129591468406208	0.121264003680752	334	49338	12118	69025430.2848576	26
20230727 201832	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	755	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.120855911174602	0.57792204649173	127	49818	10053	68991044.9775112	27
20230727 204926	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1108	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.135312146717998	0.443509785385506	806	49322	10828	68814050.9745127	28
20230727 210457	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	851	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.129904777178177	0.727256040236778	233	49969	9745	67769617.6911544	29
20230727 211612	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	607	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.13494412920151	0.14169247273849	517	36807	11531	68716685.1574213	30
20230727 213416	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	540	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.127793482820572	0.427802161653471	652	38033	11283	68469860.5697151	31
20230727 215150	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	619	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.139593363592543	0.339821556716882	339	43103	13120	69460029.9850075	32
20230727 215612	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	218	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.138462888977837	0.0115152197588952	185	41039	12297	64165551.7241379	33
20230727 220801	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	561	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.129732234907742	0.612629764974343	157	33910	10934	69309364.3178411	34
20230727 221459	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	39	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.131631790880611	0.273959008634108	427	48930	11333	63997401.7991005	35
20230727 222612	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	552	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.13419031991505	0.664536221256364	327	35876	12001	68477479.7601199	36
20230727 223112	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.134115043276499	0.659206175882169	338	35178	15038	65292476.7616192	37
20230727 224538	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	972	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.127546492231335	0.765446223536592	251	39233	11086	68143679.1604198	38
20230727 230615	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1536	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.126854395611074	0.873108662037623	241	38656	11379	67901320.8395802	39
20230727 231537	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	491	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.127907388393337	0.746401862654553	313	39290	13472	69452125.9370315	40
20230727 232324	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	272	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.127355717443722	0.740147364310559	267	39444	12328	68902176.9115442	41
20230727 233412	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	633	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.126691998974863	0.724357354353267	255	39645	12149	68478517.2413793	42
20230727 235110	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1146	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.126596693808305	0.726586462111302	250	38922	11946	68723079.4602699	43
20230728 000057	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	465	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.126085786523831	0.719039100991041	229	39554	12927	68578280.3598201	44
20230728 001349	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	751	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.125908709694671	0.712178547723169	214	39096	10821	68813701.6491754	45
20230728 002459	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	629	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.125451058548648	0.694495122140533	180	38454	11872	69595214.3928036	46
20230728 003332	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	403	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.124791954231459	0.672185400608383	140	38848	10590	68521874.0629685	47
20230728 004328	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	403	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.124791954231459	0.672185400608383	140	38848	10590	68521874.0629685	48
20230728 005418	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	587	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.124736994666653	0.682714752707082	144	38172	11292	69152605.6971514	49
20230728 011801	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1195	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.064754988076649	0.661600505196167	91	7253	14861	67731542.7286357	50
20230728 013119	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	765	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.124254393856108	0.65244282298347	127	36835	13217	69490469.2653673	51
20230728 014316	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	713	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.123988597382165	0.632780179295269	96	34216	12680	69417991.0044978	52
20230728 015824	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	371	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.088886159039587	0.252223518669981	904	10480	11605	68835314.8425787	53
20230728 021602	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	524	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.123443131862018	0.625501842789721	57	34159	12185	69175314.8425787	54
20230728 024901	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	925	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.123368311256722	0.60390610073085	72	31653	11364	69038494.7526237	55
20230728 030116	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	688	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.0959548315093864	0.68577662204286	212	28852	13322	69171991.0044978	56
20230728 030924	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	166	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.255707910516329	0.164157100494203	571	8767	11256	65858326.8365817	57
20230728 031723	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	330	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.131389796329801	0.0845945456328698	523	2575	12197	66334097.4512744	58
20230728 032410	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	523	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.207198071563588	0.0299242618046483	379	15949	12015	67249752.6236882	59
20230728 034138	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	471	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.271283325055822	0.513061386250308	963	49585	12685	67557833.5832084	60
20230728 035516	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	506	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.270316264080923	0.28693345414923	508	47220	11026	68222389.8050974	61
20230728 040214	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	212	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.273105396179669	0.742957901762059	507	26726	10518	67012116.9415292	62
20230728 041015	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	331	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.202794761306595	0.133360748601701	688	32062	11183	67977176.9115442	63
20230728 042005	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	579	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.229784055565596	0.716803023974977	374	44965	10839	68324199.4002998	64
20230728 044442	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	843	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.126804317014224	0.584382292863526	66	41046	12055	68880337.3313343	65
20230728 050252	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	614	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.171919192945648	0.38464062533617	690	36833	11603	68286352.3238381	66
