fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230727 142411	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	239	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.133542147818782	0.551980718872682	774	18605	13215	68931551.7241379	1
20230727 144131	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	402	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.207718533141412	0.474234398336442	330	38828	13845	67677413.7931034	2
20230727 145435	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	779	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.0771557948955813	0.746088301081208	404	33116	11958	68743391.3043478	3
20230727 153003	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2199	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.184479427693114	0.21485882766807	322	26679	10749	65873239.88006	4
20230727 154715	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	860	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.17234613823716	0.883964554967447	932	9800	11896	66339706.1469265	5
20230727 160020	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	783	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.117404675859183	0.971173525720303	200	35956	11967	69053542.7286357	6
20230727 160903	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	436	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.232313769778997	0.624683466664233	564	43639	10287	68824697.1514243	7
20230727 161348	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	193	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.101136239011851	0.0226133987883425	885	19762	12183	65628511.2443778	8
20230727 162114	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	220	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.289687188967349	0.173536967682172	35	5955	11948	66070362.8185907	9
20230727 162828	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	52	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.0524546751247422	0.76240312177859	116	14189	13422	66821856.071964	10
20230727 163919	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	290	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.265415671093846	0.26604892206656	649	23963	12216	66263904.047976	11
20230727 165853	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	390	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.0692221108447292	0.391274033658264	642	442	11939	67916133.4332834	12
20230727 171745	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	760	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.14271403593	0.32327541632957	148	48571	10794	69124386.8065967	13
20230727 172415	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	81	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.037053227464103	0.865993348197893	731	28756	13605	65425059.970015	14
20230727 172831	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	44	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.213044391054598	0.0900509868998733	970	45938	12797	63869449.7751124	15
20230727 173524	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	15	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.256300556599865	0.679861315034628	475	8761	13773	62373233.8830585	16
20230727 174032	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	45	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.105103115549349	0.9091401720502	271	35260	11865	65793065.9670165	17
20230727 175113	1178	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	84	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.0509143458372969	0.424922646048174	912	49856	14137	63939584.7076462	18
